Vehicle_Type,FastagID,TollBoothID,Lane_Type,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Geographical_Location,Vehicle_Speed,Fraud_indicator,Hour,Day_of_Week,Month,Amount_Ratio,Speed_Amount_Ratio,Speed_X_Amount
Bus ,FTG-146-CDE-431,C-103,Regular,Large,350,90,"13.059816123454882, 77.77068662374292",82,Fraud,3,6,3,3.888888888888889,0.2342857142857143,28700
Car,FTG-147-LMK-110,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",56,Not Fraud,7,0,3,1.0,0.4666666666666667,6720
Motorcycle,FTG-000-QAZ-210,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",84,Not Fraud,12,1,3,inf,inf,0
Truck,FTG-139-RFD-443,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",69,Not Fraud,16,2,3,1.0,0.19714285714285715,24150
Van,FTG-140-TGB-211,B-102,Regular,Medium,140,120,"13.059816123454882, 77.77068662374292",94,Fraud,21,3,3,1.1666666666666667,0.6714285714285714,13160
Sedan,FTG-141-BVC-988,A-101,Express,Medium,160,120,"13.059816123454882, 77.77068662374292",49,Fraud,3,4,3,1.3333333333333333,0.30625,7840
SUV,FTG-142-XCV-658,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",76,Not Fraud,8,5,3,1.0,0.4222222222222222,13680
Bus ,FTG-143-LKJ-327,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",63,Not Fraud,13,6,3,1.0,0.18,22050
Car,FTG-144-POU-092,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",88,Not Fraud,18,0,3,1.0,0.7333333333333333,10560
Motorcycle,FTG-000-QAZ-210,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",74,Not Fraud,23,1,3,inf,inf,0
Truck,FTG-136-PLM-431,C-103,Regular,Large,350,120,"13.059816123454882, 77.77068662374292",96,Fraud,5,2,3,2.9166666666666665,0.2742857142857143,33600
Van,FTG-137-HGT-107,B-102,Express,Medium,140,100,"13.059816123454882, 77.77068662374292",61,Fraud,10,3,3,1.4,0.4357142857142857,8540
Sedan,FTG-138-WSX-878,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",85,Not Fraud,14,4,3,1.0,0.53125,13600
SUV,FTG-139-QAZ-546,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",52,Not Fraud,19,5,3,1.0,0.28888888888888886,9360
Bus ,FTG-130-RFD-217,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",79,Not Fraud,0,6,3,1.0,0.2257142857142857,27650
Car,FTG-161-YUI-988,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",66,Not Fraud,6,0,3,1.0,0.55,7920
Motorcycle,FTG-000-QAZ-210,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",90,Not Fraud,11,1,3,inf,inf,0
Truck,FTG-183-NBH-323,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",48,Not Fraud,15,2,3,1.0,0.13714285714285715,16800
Van,FTG-184-KJH-094,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",77,Not Fraud,21,3,3,1.0,0.55,10780
Sedan,FTG-185-EDC-763,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",60,Not Fraud,2,4,3,1.0,0.375,9600
SUV,FTG-186-LMK-431,B-102,Regular,Large,180,90,"13.059816123454882, 77.77068662374292",83,Fraud,6,5,3,2.0,0.46111111111111114,14940
Bus ,FTG-187-WLN-109,C-103,Express,Large,350,160,"13.059816123454882, 77.77068662374292",71,Fraud,11,6,3,2.1875,0.20285714285714285,24850
Car,FTG-188-VFR-872,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",97,Not Fraud,16,0,3,1.0,0.8083333333333333,11640
Motorcycle,FTG-000-QAZ-210,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",46,Not Fraud,21,1,3,inf,inf,0
Truck,FTG-200-QAZ-214,C-103,Regular,Large,350,100,"13.059816123454882, 77.77068662374292",81,Fraud,2,2,3,3.5,0.23142857142857143,28350
Van,FTG-201-XYZ-982,B-102,Express,Medium,140,140,"13.059816123454882, 77.77068662374292",64,Not Fraud,7,3,3,1.0,0.45714285714285713,8960
Sedan,FTG-212-ABC-657,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",93,Not Fraud,8,6,1,1.0,0.58125,14880
SUV,FTG-203-PQR-323,B-102,Express,Large,180,120,"13.059816123454882, 77.77068662374292",57,Fraud,12,0,1,1.5,0.31666666666666665,10260
Bus ,FTG-204-WEF-098,C-103,Regular,Large,350,100,"13.059816123454882, 77.77068662374292",86,Fraud,16,1,1,3.5,0.24571428571428572,30100
Car,FTG-205-LMN-758,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",55,Not Fraud,22,2,1,1.0,0.4583333333333333,6600
Motorcycle,FTG-000-QAZ-210,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",82,Not Fraud,5,3,1,inf,inf,0
Truck,FTG-217-JKL-104,C-103,Express,Large,350,90,"13.059816123454882, 77.77068662374292",63,Fraud,11,4,1,3.888888888888889,0.18,22050
Van,FTG-211-UVW-877,B-102,Regular,Medium,140,120,"13.059816123454882, 77.77068662374292",90,Fraud,14,5,1,1.1666666666666667,0.6428571428571429,12600
Sedan,FTG-109-RST-539,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",48,Not Fraud,18,6,1,1.0,0.3,7680
SUV,FTG-210-MNO-112,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",76,Not Fraud,2,0,1,1.0,0.4222222222222222,13680
Bus ,FTG-211-QQE-888,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",58,Not Fraud,6,1,1,1.0,0.1657142857142857,20300
Car,FTG-212-ZXC-557,A-101,Regular,Small,120,0,"13.059816123454882, 77.77068662374292",87,Fraud,10,2,1,inf,0.725,10440
Motorcycle,FTG-000-QAZ-210,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",67,Not Fraud,15,3,1,inf,inf,0
Truck,FTG-214-KJH-890,C-103,Regular,Large,350,120,"13.059816123454882, 77.77068662374292",94,Fraud,20,4,1,2.9166666666666665,0.26857142857142857,32900
Van,FTG-215-DCV-751,B-102,Express,Medium,140,140,"13.059816123454882, 77.77068662374292",71,Not Fraud,1,5,1,1.0,0.5071428571428571,9940
Sedan,FTG-216-NBH-443,A-101,Regular,Medium,160,60,"13.059816123454882, 77.77068662374292",89,Fraud,7,6,1,2.6666666666666665,0.55625,14240
SUV,FTG-237-LKI-106,B-102,Express,Large,180,140,"13.059816123454882, 77.77068662374292",52,Fraud,12,0,1,1.2857142857142858,0.28888888888888886,9360
Bus ,FTG-238-UYT-856,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",79,Not Fraud,17,1,1,1.0,0.2257142857142857,27650
Car,FTG-229-FRD-542,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",66,Not Fraud,22,2,1,1.0,0.55,7920
Motorcycle,FTG-000-QAZ-210,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",95,Not Fraud,4,3,1,inf,inf,0
Truck,FTG-211-BVC-982,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",44,Not Fraud,8,4,1,1.0,0.12571428571428572,15400
Van,FTG-212-XSW-624,B-102,Regular,Medium,140,100,"13.059816123454882, 77.77068662374292",78,Fraud,13,5,1,1.4,0.5571428571428572,10920
Sedan,FTG-213-NMK-322,A-101,Express,Medium,160,60,"13.059816123454882, 77.77068662374292",61,Fraud,16,6,1,2.6666666666666665,0.38125,9760
SUV,FTG-414-CDE-093,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",85,Not Fraud,22,0,1,1.0,0.4722222222222222,15300
Bus ,FTG-215-VBN-764,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",49,Fraud,2,1,1,3.5,0.14,17150
Car,FTG-216-PLM-431,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",74,Not Fraud,7,2,1,1.0,0.6166666666666667,8880
Motorcycle,FTG-000-QAZ-210,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",69,Not Fraud,12,3,1,inf,inf,0
Truck,FTG-218-WSX-816,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",92,Not Fraud,15,4,1,1.0,0.26285714285714284,32200
Van,FTG-119-QAZ-541,B-102,Express,Medium,140,90,"13.059816123454882, 77.77068662374292",57,Fraud,21,5,1,1.5555555555555556,0.40714285714285714,7980
Sedan,FTG-210-LPO-211,A-101,Regular,Medium,160,60,"13.059816123454882, 77.77068662374292",83,Fraud,3,6,1,2.6666666666666665,0.51875,13280
SUV,FTG-211-ZAS-917,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",68,Not Fraud,7,0,1,1.0,0.37777777777777777,12240
Bus ,FTG-922-IXC-655,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",96,Not Fraud,11,1,1,1.0,0.2742857142857143,33600
Car,FTG-233-JOP-311,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",46,Not Fraud,16,2,2,1.0,0.38333333333333336,5520
Motorcycle,FTG-000-QAZ-210,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",81,Not Fraud,21,3,2,inf,inf,0
Truck,FTG-215-EDC-715,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",60,Not Fraud,3,4,2,1.0,0.17142857142857143,21000
Van,FTG-216-OKM-412,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",88,Not Fraud,8,5,2,1.0,0.6285714285714286,12320
Sedan,FTG-217-NJI-119,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",53,Not Fraud,13,6,2,1.0,0.33125,8480
SUV,FTG-218-LKJ-875,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",77,Not Fraud,18,0,2,1.0,0.42777777777777776,13860
Bus ,FTG-359-UTY-543,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",64,Not Fraud,23,1,2,1.0,0.18285714285714286,22400
Car,FTG-220-POU-211,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",91,Not Fraud,5,2,2,1.0,0.7583333333333333,10920
Motorcycle,FTG-000-QAZ-210,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",50,Not Fraud,9,3,2,inf,inf,0
Truck,FTG-212-VBN-651,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",75,Not Fraud,14,4,2,1.0,0.21428571428571427,26250
Van,FTG-223-QWE-322,B-102,Express,Medium,140,140,"13.059816123454882, 77.77068662374292",59,Not Fraud,17,5,2,1.0,0.42142857142857143,8260
Sedan,FTG-224-MKH-091,A-101,Regular,Medium,160,140,"13.059816123454882, 77.77068662374292",84,Fraud,23,6,2,1.1428571428571428,0.525,13440
SUV,FTG-225-DCF-763,B-102,Express,Large,180,100,"13.059816123454882, 77.77068662374292",66,Fraud,4,0,2,1.8,0.36666666666666664,11880
Bus ,FTG-246-POI-415,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",93,Not Fraud,8,1,2,1.0,0.26571428571428574,32550
Car,FTG-247-XCV-111,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",45,Not Fraud,13,2,2,1.0,0.375,5400
Motorcycle,FTG-000-QAZ-210,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",80,Not Fraud,16,3,2,inf,inf,0
Truck,FTG-249-RFD-141,C-103,Express,Large,350,160,"13.059816123454882, 77.77068662374292",62,Fraud,22,4,2,2.1875,0.17714285714285713,21700
Van,FTG-250-HGT-111,B-102,Regular,Medium,140,120,"13.059816123454882, 77.77068662374292",86,Fraud,4,5,2,1.1666666666666667,0.6142857142857143,12040
Sedan,FTG-251-YUI-181,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",51,Not Fraud,8,6,2,1.0,0.31875,8160
SUV,FTG-252-BVC-151,B-102,Regular,Large,180,160,"13.059816123454882, 77.77068662374292",73,Fraud,13,0,2,1.125,0.40555555555555556,13140
Bus ,FTG-253-NBH-125,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",56,Not Fraud,18,1,2,1.0,0.16,19600
Car,FTG-254-KJH-191,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",82,Not Fraud,22,2,2,1.0,0.6833333333333333,9840
Motorcycle,FTG-000-QAZ-210,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",70,Not Fraud,4,3,2,inf,inf,0
Truck,FTG-256-LMK-133,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",97,Not Fraud,8,4,2,1.0,0.27714285714285714,33950
Van,FTG-257-PLN-118,B-102,Express,Medium,140,140,"13.059816123454882, 77.77068662374292",47,Not Fraud,13,5,2,1.0,0.3357142857142857,6580
Sedan,FTG-258-VFR-178,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",84,Not Fraud,18,6,2,1.0,0.525,13440
SUV,FTG-259-WSX-148,B-102,Express,Large,180,100,"13.059816123454882, 77.77068662374292",65,Fraud,23,0,2,1.8,0.3611111111111111,11700
Bus ,FTG-260-QAZ-115,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",92,Not Fraud,5,1,2,1.0,0.26285714285714284,32200
Car,FTG-261-POU-918,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",53,Not Fraud,9,2,3,1.0,0.44166666666666665,6360
Motorcycle,FTG-000-QAZ-210,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",79,Not Fraud,14,3,3,inf,inf,0
Truck,FTG-263-ZXC-318,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",61,Fraud,18,4,3,3.5,0.1742857142857143,21350
Van,FTG-264-OKM-196,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",89,Not Fraud,23,5,3,1.0,0.6357142857142857,12460
Sedan,FTG-265-LKJ-766,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",44,Not Fraud,3,6,3,1.0,0.275,7040
SUV,FTG-266-HGT-437,B-102,Regular,Large,180,140,"13.059816123454882, 77.77068662374292",78,Fraud,7,0,3,1.2857142857142858,0.43333333333333335,14040
Bus ,FTG-267-MKF-105,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",67,Not Fraud,12,1,3,1.0,0.19142857142857142,23450
Car,FTG-268-DCV-877,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",95,Not Fraud,16,2,3,1.0,0.7916666666666666,11400
Motorcycle,FTG-000-QAZ-210,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",55,Not Fraud,21,3,3,inf,inf,0
Truck,FTG-053-PQR-787,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",80,Not Fraud,3,4,3,1.0,0.22857142857142856,28000
Van,FTG-011-MNO-097,B-102,Express,Medium,140,140,"13.059816123454882, 77.77068662374292",62,Not Fraud,8,5,3,1.0,0.44285714285714284,8680
Sedan,FTG-077-LKI-986,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",87,Not Fraud,13,6,3,1.0,0.54375,13920
SUV,FTG-124-CDE-877,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",47,Not Fraud,18,0,3,1.0,0.2611111111111111,8460
Bus ,FTG-131-ZAS-763,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",73,Not Fraud,23,1,3,1.0,0.20857142857142857,25550
Car,FTG-138-LKJ-657,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",68,Not Fraud,5,2,3,1.0,0.5666666666666667,8160
Motorcycle,FTG-000-QAZ-210,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",91,Not Fraud,10,3,3,inf,inf,0
Truck,FTG-042-BVC-437,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",52,Not Fraud,14,4,3,1.0,0.14857142857142858,18200
Van,FTG-049-WSX-326,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",82,Not Fraud,19,5,3,1.0,0.5857142857142857,11480
Sedan,FTG-056-HGT-215,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",56,Not Fraud,0,6,3,1.0,0.35,8960
SUV,FTG-063-KJH-104,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",84,Not Fraud,6,0,3,1.0,0.4666666666666667,15120
Bus ,FTG-081-TGB-048,C-103,Express,Large,350,120,"13.059816123454882, 77.77068662374292",69,Fraud,11,1,3,2.9166666666666665,0.19714285714285715,24150
Car,FTG-077-HGT-985,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",94,Not Fraud,15,2,3,1.0,0.7833333333333333,11280
Motorcycle,FTG-000-QAZ-210,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",49,Not Fraud,21,3,3,inf,inf,0
Truck,FTG-101-XYZ-984,C-103,Regular,Large,350,100,"13.059816123454882, 77.77068662374292",76,Fraud,2,4,3,3.5,0.21714285714285714,26600
Van,FTG-108-UVW-885,B-102,Express,Medium,140,120,"13.059816123454882, 77.77068662374292",63,Fraud,6,5,3,1.1666666666666667,0.45,8820
Sedan,FTG-115-DCV-774,A-101,Regular,Medium,160,90,"13.059816123454882, 77.77068662374292",88,Fraud,11,6,3,1.7777777777777777,0.55,14080
SUV,FTG-122-XSW-643,B-102,Express,Large,180,120,"13.059816123454882, 77.77068662374292",74,Fraud,16,0,3,1.5,0.4111111111111111,13320
Bus ,FTG-129-QAZ-433,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",96,Not Fraud,21,1,3,1.0,0.2742857142857143,33600
Car,FTG-136-OKM-434,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",61,Not Fraud,2,2,3,1.0,0.5083333333333333,7320
Motorcycle,FTG-000-QAZ-210,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",85,Not Fraud,7,3,3,inf,inf,0
Truck,FTG-120-HGT-213,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",52,Not Fraud,12,4,3,1.0,0.14857142857142858,18200
Van,FTG-157-PLN-193,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",79,Not Fraud,16,5,4,1.0,0.5642857142857143,11060
Sedan,FTG-134-OKM-093,A-101,Express,Medium,160,120,"13.059816123454882, 77.77068662374292",66,Fraud,22,6,4,1.3333333333333333,0.4125,10560
SUV,FTG-141-WSX-983,B-102,Regular,Large,180,90,"13.059816123454882, 77.77068662374292",90,Fraud,3,0,4,2.0,0.5,16200
Bus ,FTG-148-NJH-846,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",48,Not Fraud,7,1,4,1.0,0.13714285714285715,16800
Car,FTG-145-ZXC-763,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",77,Not Fraud,12,2,4,1.0,0.6416666666666667,9240
Motorcycle,FTG-000-QAZ-210,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",60,Not Fraud,15,3,4,inf,inf,0
Truck,FTG-189-WSX-533,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",83,Not Fraud,21,4,4,1.0,0.23714285714285716,29050
Van,FTG-206-GHI-334,B-102,Express,Medium,140,140,"13.059816123454882, 77.77068662374292",71,Not Fraud,2,5,4,1.0,0.5071428571428571,9940
Sedan,FTG-213-POI-332,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",97,Not Fraud,6,6,4,1.0,0.60625,15520
SUV,FTG-210-TYU-230,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",46,Not Fraud,11,0,4,1.0,0.25555555555555554,8280
Bus ,FTG-217-HGT-149,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",81,Not Fraud,15,1,4,1.0,0.23142857142857143,28350
Car,FTG-234-RFV-038,A-101,Express,Small,120,0,"13.059816123454882, 77.77068662374292",64,Fraud,20,2,4,inf,0.5333333333333333,7680
Motorcycle,FTG-000-QAZ-210,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",93,Not Fraud,1,3,4,inf,inf,0
Truck,FTG-248-JKL-173,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",57,Not Fraud,6,4,4,1.0,0.16285714285714287,19950
Van,FTG-255-EDC-162,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",86,Not Fraud,11,5,4,1.0,0.6142857142857143,12040
Sedan,FTG-262-NJH-153,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",55,Not Fraud,15,6,4,1.0,0.34375,8800
SUV,FTG-269-NBH-542,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",82,Not Fraud,21,0,4,1.0,0.45555555555555555,14760
Bus ,FTG-309-RST-533,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",63,Not Fraud,3,1,4,1.0,0.18,22050
Car,FTG-310-MNO-212,A-101,Regular,Small,120,90,"13.059816123454882, 77.77068662374292",90,Fraud,7,2,4,1.3333333333333333,0.75,10800
Motorcycle,FTG-000-QAZ-210,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",48,Not Fraud,12,3,4,inf,inf,0
Truck,FTG-035-DCF-542,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",76,Not Fraud,16,4,4,1.0,0.21714285714285714,26600
Van,FTG-084-KJH-872,B-102,Express,Medium,140,140,"13.059816123454882, 77.77068662374292",58,Not Fraud,22,5,4,1.0,0.4142857142857143,8120
Sedan,FTG-123-QWE-324,A-101,Regular,Medium,160,90,"13.059816123454882, 77.77068662374292",87,Fraud,4,6,4,1.7777777777777777,0.54375,13920
SUV,FTG-182-BVC-652,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",67,Not Fraud,8,0,4,1.0,0.37222222222222223,12060
Bus ,FTG-211-ZXC-937,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",94,Not Fraud,13,1,4,1.0,0.26857142857142857,32900
Car,FTG-311-QWE-983,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",71,Not Fraud,18,2,4,1.0,0.5916666666666667,8520
Motorcycle,FTG-000-QAZ-210,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",89,Not Fraud,23,3,4,inf,inf,0
Truck,FTG-319-FRD-512,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",52,Not Fraud,5,4,4,1.0,0.14857142857142858,18200
Van,FTG-320-TYU-222,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",79,Not Fraud,9,5,4,1.0,0.5642857142857143,11060
Sedan,FTG-321-BVC-972,A-101,Express,Medium,160,100,"13.059816123454882, 77.77068662374292",66,Fraud,14,6,4,1.6,0.4125,10560
SUV,FTG-322-XSW-642,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",95,Not Fraud,18,0,5,1.0,0.5277777777777778,17100
Bus ,FTG-323-NMK-331,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",44,Fraud,23,1,5,3.5,0.12571428571428572,15400
Car,FTG-324-CDE-092,A-101,Regular,Small,120,180,"13.059816123454882, 77.77068662374292",78,Fraud,3,2,5,0.6666666666666666,0.65,9360
Motorcycle,FTG-000-QAZ-210,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",61,Not Fraud,7,3,5,inf,inf,0
Truck,FTG-326-PLM-133,C-103,Regular,Large,350,160,"13.059816123454882, 77.77068662374292",85,Fraud,12,4,5,2.1875,0.24285714285714285,29750
Van,FTG-327-HGT-112,B-102,Express,Medium,140,120,"13.059816123454882, 77.77068662374292",49,Fraud,16,5,5,1.1666666666666667,0.35,6860
Sedan,FTG-328-WSX-852,A-101,Regular,Medium,160,120,"13.059816123454882, 77.77068662374292",74,Fraud,21,6,5,1.3333333333333333,0.4625,11840
SUV,FTG-329-QAZ-522,B-102,Express,Large,180,120,"13.059816123454882, 77.77068662374292",69,Fraud,3,0,5,1.5,0.38333333333333336,12420
Bus ,FTG-330-LPO-230,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",92,Not Fraud,8,1,5,1.0,0.26285714285714284,32200
Car,FTG-331-ZAS-995,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",57,Not Fraud,13,2,5,1.0,0.475,6840
Motorcycle,FTG-000-QAZ-210,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",83,Not Fraud,18,3,5,inf,inf,0
Truck,FTG-333-JOP-312,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",68,Not Fraud,23,4,5,1.0,0.19428571428571428,23800
